,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Modeling Brain Diverse and Complex Hemodynamic Response Patterns via Deep Recurrent Autoencoder,12,4,733-743,"Cui Yan,Zhao Shijie,Chen Yaowu,Han Junwei,Guo Lei,Xie Li,Liu Tianming","Cui Y,Zhao SJ,Chen YW,Han JW,Guo L,Xie L,Liu TM",Xie L,10.1109/TCDS.2019.2949195,Zhejiang University,"For decades, a variety of task-based functional MRI (tfMRI) data analysis approaches have been developed, including the general linear model (GLM), sparse representations, and independent component analysis (ICA). However, these methods are mainly shallow models and are limited in faithfully modeling the complex, diverse, and concurrent spatial-temporal functional brain activities. Recently, recurrent neural networks (RNNs) have demonstrated great superiority in modeling temporal dependency of signals, while autoencoder models have been proven to be effective in automatically estimating the optimal representations of the original data. These characteristics of RNNs and autoencoders naturally meet the requirement of modeling hemodynamic response patterns in tfMRI data. Thus, we propose a novel unsupervised framework of deep recurrent autoencoder (DRAE) for modeling hemodynamic response patterns in this article. The basic idea of the DRAE model is to combine the deep RNN and the autoencoder to automatically characterize the meaningful functional brain networks and corresponding diverse and complex hemodynamic response patterns simultaneously. The experimental results demonstrate the superiority of the proposed DRAE model in automatically estimating the diverse and complex hemodynamic response patterns.","Brain modeling,Hemodynamics,Data models,Task analysis,Recurrent neural networks,Feature extraction,Autoencoder,brain network,deep learning,hemodynamic response pattern,recurrent neural network (RNN),task-based functional magnetic resonance imaging (tfMRI)",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Robotics,Neurosciences & Neurology",,3.513,"CONVOLUTIONAL,NEURAL-NETWORKS,FUNCTIONAL,NETWORKS,FMRI,REPRESENTATION,ARCHITECTURE,ATLASES",IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,,
2,An Edge-Cloud-Aided High-Order Possibilistic c-Means Algorithm for Big Data Clustering,28,12,3100-3109,"Bu Fanyu,Zhang Qingchen,Yang Laurence T.,Yu Hang","Bu FY,Zhang QC,Yang LT,Yu H",Yang LT,10.1109/TFUZZ.2020.2992634,University of Electronic Science & Technology of China,"In this article, a high-order possibilistic c-means algorithm (HOPCM) based on the double-layer deep computation model (DCM) is proposed for big data clustering. Specifically, an asymmetric tensor autoencoder is presented to efficiently train the double-layer DCM for big data feature learning. Furthermore, an edge-cloud computing system is developed to improve the clustering efficiency. In the edge-cloud system, the computation-intensive tasks including the parameters' training and clustering are offloaded to the cloud while the task of feature learning is performed at the edge of network. Finally, we conduct extensive experiments to evaluate the performance of the presented algorithm by comparing it with other two representative big data clustering algorithms, i.e., the standard HOPCM and the HOPCM based on deep learning. Results demonstrate that the presented algorithm achieves higher accuracy than the two compared algorithms and furthermore the clustering efficiency are significantly improved by the developed edge-cloud computing system.","Clustering algorithms,Tensors,Big Data,Computational modeling,Cloud computing,Standards,Phase change materials,Big data,deep computation model (DCM),edge-cloud computing system,possibilistic c-means approach",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering",,10.444,MODEL,IEEE TRANSACTIONS ON FUZZY SYSTEMS,,
3,Hierarchical Fused Model With Deep Learning and Type-2 Fuzzy Learning for Breast Cancer Diagnosis,28,12,3204-3218,"Shen Tianyu,Wang Jiangong,Gou Chao,Wang Fei-Yue","Shen TY,Wang JG,Gou C,Wang FY",Gou C,10.1109/TFUZZ.2020.3013681,Sun Yat Sen University,"Breast cancer diagnosis based on medical imaging necessitates both fine-grained lesion segmentation and disease grading. Although deep learning (DL) offers an emerging and powerful paradigm of feature learning for these two tasks, it is hampered from popularizing in practical application due to the lack of interpretability, generalization ability, and large labeled training sets. In this article, we propose a hierarchical fused model based on DL and fuzzy learning to overcome the drawbacks for pixelwise segmentation and disease grading of mammography breast images. The proposed system consists of a segmentation model (ResU-segNet) and a hierarchical fuzzy classifier (HFC) that is a fusion of interval type-2 possibilistic fuzzy c-means and fuzzy neural network. The ResU-segNet segments the masks of mass regions from the images through convolutional neural networks, while the HFC encodes the features from mass images and masks to obtain the disease grading through fuzzy representation and rule-based learning. Through the integration of feature extraction aided by domain knowledge and fuzzy learning, the system achieves favorable performance in a few-shot learning manner, and the deterioration of cross-dataset generalization ability is alleviated. In addition, the interpretability is further enhanced. The effectiveness of the proposed system is analyzed on the publicly available mammogram database of INbreast and a private database through cross-validation. Thorough comparative experiments are also conducted and demonstrated.","Image segmentation,Biomedical imaging,Fuzzy sets,Breast cancer,Breast cancer,deep learning (DL),fuzzy classifier (FC),interval type-2 possibilistic fuzzy c-means (IT2PFCM)",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering",,10.444,"NEURAL-NETWORK,CLASSIFICATION,MAMMOGRAMS,ALGORITHM,TUMOR",IEEE TRANSACTIONS ON FUZZY SYSTEMS,,
4,DML-GANR: Deep Metric Learning With Generative Adversarial Network Regularization for High Spatial Resolution Remote Sensing Image Retrieval,58,12,8888-8904,"Cao Yun,Wang Yuebin,Peng Junhuan,Zhang Liqiang,Xu Linlin,Yan Kai,Li Lihua","Cao Y,Wang YB,Peng JH,Zhang LQ,Xu LL,Yan K,Li LH",Wang YB,10.1109/TGRS.2020.2991545,China University of Geosciences,"With a small number of labeled samples for training, it can save considerable manpower and material resources, especially when the amount of high spatial resolution remote sensing images (HSR-RSIs) increases considerably. However, many deep models face the problem of overfitting when using a small number of labeled samples. This might degrade HSR-RSI retrieval accuracy. Aiming at obtaining more accurate HSR-RSI retrieval performance with small training samples, we develop a deep metric learning approach with generative adversarial network regularization (DML-GANR) for HSR-RSI retrieval. The DML-GANR starts from a high-level feature extraction (HFE) to extract high-level features, which includes convolutional layers and fully connected (FC) layers. Each of the FC layers is constructed by deep metric learning (DML) to maximize the interclass variations and minimize the intraclass variations. The generative adversarial network (GAN) is adopted to mitigate the overfitting problem and validate the qualities of extracted high-level features. DML-GANR is optimized through a customized approach, and the optimal parameters are obtained. The experimental results on the three data sets demonstrate the superior performance of DML-GANR over state-of-the-art techniques in HSR-RSI retrieval.","Feature extraction,Measurement,Generative adversarial networks,Gallium nitride,Image retrieval,Generators,Training,Convolutional neural network (CNN),generative adversarial network (GAN),deep metric learning (DML),image retrieval,deep learning",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Geochemistry & Geophysics,Engineering,Remote Sensing,Imaging Science & Photographic Technology",,6.086,"CONVOLUTIONAL,NEURAL-NETWORKS,CLASSIFICATION,DISTANCE",IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,http://arxiv.org/pdf/2010.03116,
5,Rectifying Supporting Regions With Mixed and Active Supervision for Rib Fracture Recognition,39,12,3843-3854,"Huang Yi-Jie,Liu Weiping,Wang Xiuying,Fang Qu,Wang Renzhen,Wang Yi,Chen Huai,Chen Hao,Meng Deyu,Wang Lisheng","Huang YJ,Liu WP,Wang XY,Fang Q,Wang RZ,Wang Y,Chen H,Chen H,Meng DY,Wang LS",Wang LS,10.1109/TMI.2020.3006138,Shanghai Jiao Tong University,"Automatic rib fracture recognition from chest X-ray images is clinically important yet challenging due to weak saliency of fractures. Weakly Supervised Learning (WSL) models recognize fractures by learning from large-scale image-level labels. In WSL, Class Activation Maps (CAMs) are considered to provide spatial interpretations on classification decisions. However, the high-responding regions, namely Supporting Regions of CAMs may erroneously lock to regions irrelevant to fractures, which thereby raises concerns on the reliability of WSL models for clinical applications. Currently available Mixed Supervised Learning (MSL) models utilize object-level labels to assist fitting WSL-derived CAMs. However, as a prerequisite of MSL, the large quantity of precisely delineated labels is rarely available for rib fracture tasks. To address these problems, this paper proposes a novel MSL framework. Firstly, by embedding the adversarial classification learning into WSL frameworks, the proposed Biased Correlation Decoupling and Instance Separation Enhancing strategies guide CAMs to true fractures indirectly. The CAM guidance is insensitive to shape and size variations of object descriptions, thereby enables robust learning from bounding boxes. Secondly, to further minimize annotation cost in MSL, a CAM-based Active Learning strategy is proposed to recognize and annotate samples whose Supporting Regions cannot be confidently localized. Consequently, the quantity demand of object-level labels can be reduced without compromising the performance. Over a chest X-ray rib-fracture dataset of 10966 images, the experimental results show that our method produces rational Supporting Regions to interpret its classification decisions and outperforms competing methods at an expense of annotating 20% of the positive samples with bounding boxes.","Cams,Ribs,X-ray imaging,Annotations,Image recognition,Training,Supervised learning,Convolutional neural network~(CNN),class activation map~(CAM),supporting region,mixed supervised learning~(MSL),active learning~(AL)",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,,IEEE TRANSACTIONS ON MEDICAL IMAGING,,
6,Misshapen Pelvis Landmark Detection With Local-Global Feature Learning for Diagnosing Developmental Dysplasia of the Hip,39,12,3944-3954,"Liu Chuanbin,Xie Hongtao,Zhang Sicheng,Mao Zhendong,Sun Jun,Zhang Yongdong","Liu CB,Xie HT,Zhang SC,Mao ZD,Sun J,Zhang YD",Xie HT,10.1109/TMI.2020.3008382,Chinese Academy of Sciences,"Developmental dysplasia of the hip (DDH) is one of the most common orthopedic disorders in infants and young children. Accurately detecting and identifying the misshapen anatomical landmarks plays a crucial role in the diagnosis of DDH. However, the diversity during the calcification and the deformity due to the dislocation lead it a difficult task to detect the misshapen pelvis landmarks for both human expert and computer. Generally, the anatomical landmarks exhibit stable morphological features in part regions and rigid structural features in long ranges, which can be strong identification for the landmarks. In this paper, we investigate the local morphological features and global structural features for the misshapen landmark detection with a novel Pyramid Non-local UNet (PN-UNet). Firstly, we mine the local morphological features with a series of convolutional neural network (CNN) stacks, and convert the detection of a landmark to the segmentation of the landmark's local neighborhood by UNet. Secondly, a non-local module is employed to capture the global structural features with high-level structural knowledge. With the end-to-end and accurate detection of pelvis landmarks, we realize a fully automatic and highly reliable diagnosis of DDH. In addition, a dataset with 10,000 pelvis X-ray images is constructed in our work. It is the first public dataset for diagnosing DDH and has been already released for open research. To the best of our knowledge, this is the first attempt to apply deep learning method in the diagnosis of DDH. Experimental results show that our approach achieves an excellent precision in landmark detection (average point to point error of 0.9286mm) and illness diagnosis over human experts. Project is available at http://imcc.ustc.edu.cn/project/ddh/.","Pelvis,Feature extraction,Deep learning,Hip,X-ray imaging,Medical diagnostic imaging,Developmental dysplasia of the hip,landmark detection,medical imaging",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,"CONVOLUTIONAL,NEURAL-NETWORKS,IMAGES,CLASSIFICATION,SEGMENTATION",IEEE TRANSACTIONS ON MEDICAL IMAGING,,
7,Deep Learning-Based Regression and Classification for Automatic Landmark Localization in Medical Images,39,12,4011-4022,"Noothout Julia M. H.,de Vos Bob D.,Wolterink Jelmer M.,Postma Elbrich M.,Smeets Paul A. M.,Takx Richard A. P.,Leiner Tim,Viergever Max A.,Isgum Ivana","Noothout JMH,de Vos BD,Wolterink JM,Postma EM,Smeets PAM,Takx RAP,Leiner T,Viergever MA,Isgum I",Noothout JMH,10.1109/TMI.2020.3009002,Utrecht University,"In this study, we propose a fast and accurate method to automatically localize anatomical landmarks in medical images. We employ a global-to-local localization approach using fully convolutional neural networks (FCNNs). First, a global FCNN localizes multiple landmarks through the analysis of image patches, performing regression and classification simultaneously. In regression, displacement vectors pointing from the center of image patches towards landmark locations are determined. In classification, presence of landmarks of interest in the patch is established. Global landmark locations are obtained by averaging the predicted displacement vectors, where the contribution of each displacement vector is weighted by the posterior classification probability of the patch that it is pointing from. Subsequently, for each landmark localized with global localization, local analysis is performed. Specialized FCNNs refine the global landmark locations by analyzing local sub-images in a similar manner, i.e. by performing regression and classification simultaneously and combining the results. Evaluation was performed through localization of 8 anatomical landmarks in CCTA scans, 2 landmarks in olfactory MR scans, and 19 landmarks in cephalometric X-rays. We demonstrate that the method performs similarly to a second observer and is able to localize landmarks in a diverse set of medical images, differing in image modality, image dimensionality, and anatomical coverage.","Task analysis,Heating systems,Convolutional neural networks,Medical diagnostic imaging,Kernel,Head,Landmark localization,convolutional neural network,deep learning,classification,regression,cardiac CT,cephalometric X-ray,olfactory MR",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,"CONFIGURATION,CT",IEEE TRANSACTIONS ON MEDICAL IMAGING,http://arxiv.org/pdf/2007.05295,
8,Self-Supervised Feature Learning via Exploiting Multi-Modal Data for Retinal Disease Diagnosis,39,12,4023-4033,"Li Xiaomeng,Jia Mengyu,Islam Md Tauhidul,Yu Lequan,Xing Lei","Li XM,Jia MY,Islam MT,Yu LQ,Xing L",Xing L,10.1109/TMI.2020.3008871,Stanford University,"The automatic diagnosis of various retinal diseases from fundus images is important to support clinical decision-making. However, developing such automatic solutions is challenging due to the requirement of a large amount of human-annotated data. Recently, unsupervised/self-supervised feature learning techniques receive a lot of attention, as they do not need massive annotations. Most of the current self-supervised methods are analyzed with single imaging modality and there is no method currently utilize multi-modal images for better results. Considering that the diagnostics of various vitreoretinal diseases can greatly benefit from another imaging modality, e.g., FFA, this paper presents a novel self-supervised feature learning method by effectively exploiting multi-modal data for retinal disease diagnosis. To achieve this, we first synthesize the corresponding FFA modality and then formulate a patient feature-based softmax embedding objective. Our objective learns both modality-invariant features and patient-similarity features. Through this mechanism, the neural network captures the semantically shared information across different modalities and the apparent visual similarity between patients. We evaluate our method on two public benchmark datasets for retinal disease diagnosis. The experimental results demonstrate that our method clearly outperforms other self-supervised feature learning methods and is comparable to the supervised baseline. Our code is available at GitHub.","Diseases,Image color analysis,Task analysis,Retina,Medical diagnosis,Photography,Learning systems,Retinal disease diagnosis,self-supervised learning,multi-modal data",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,"MACULAR,DEGENERATION",IEEE TRANSACTIONS ON MEDICAL IMAGING,http://arxiv.org/pdf/2007.11067,
9,Neuronal Population Reconstruction From Ultra-Scale Optical Microscopy Images via Progressive Learning,39,12,4034-4046,"Zhao Jie,Chen Xuejin,Xiong Zhiwei,Liu Dong,Zeng Junjie,Xie Chaoyu,Zhang Yueyi,Zha Zheng-Jun,Bi Guoqiang,Wu Feng","Zhao J,Chen XJ,Xiong ZW,Liu D,Zeng JJ,Xie CY,Zhang YY,Zha ZJ,Bi GQ,Wu F",Chen XJ,10.1109/TMI.2020.3009148,Chinese Academy of Sciences,"Reconstruction of neuronal populations from ultra-scale optical microscopy (OM) images is essential to investigate neuronal circuits and brain mechanisms. The noises, low contrast, huge memory requirement, and high computational cost pose significant challenges in the neuronal population reconstruction. Recently, many studies have been conducted to extract neuron signals using deep neural networks (DNNs). However, training such DNNs usually relies on a huge amount of voxel-wise annotations in OM images, which are expensive in terms of both finance and labor. In this paper, we propose a novel framework for dense neuronal population reconstruction from ultra-scale images. To solve the problem of high cost in obtaining manual annotations for training DNNs, we propose a progressive learning scheme for neuronal population reconstruction (PLNPR) which does not require any manual annotations. Our PLNPR scheme consists of a traditional neuron tracing module and a deep segmentation network that mutually complement and progressively promote each other. To reconstruct dense neuronal populations from a terabyte-sized ultra-scale image, we introduce an automatic framework which adaptively traces neurons block by block and fuses fragmented neurites in overlapped regions continuously and smoothly. We build a dataset ""VISoR-40"" which consists of 40 large-scale OM image blocks from cortical regions of a mouse. Extensive experimental results on our VISoR-40 dataset and the public BigNeuron dataset demonstrate the effectiveness and superiority of our method on neuronal population reconstruction and single neuron reconstruction. Furthermore, we successfully apply our method to reconstruct dense neuronal populations from an ultra-scale mouse brain slice. The proposed adaptive block propagation and fusion strategies greatly improve the completeness of neurites in dense neuronal population reconstruction.","Image reconstruction,Sociology,Statistics,Neurites,Noise measurement,Manuals,Neuronal population reconstruction,ultra-scale images,optical microscopy,progressive learning",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,"BRAIN,SEGMENTATION,MODEL",IEEE TRANSACTIONS ON MEDICAL IMAGING,,
10,Zoom in Lesions for Better Diagnosis: Attention Guided Deformation Network for WCE Image Classification,39,12,4047-4059,"Xing Xiaohan,Yuan Yixuan,Meng Max Q. -H.","Xing XH,Yuan YX,Meng MQH",Yuan YX,10.1109/TMI.2020.3010102,City University of Hong Kong,"Wireless capsule endoscopy (WCE) is a novel imaging tool that allows noninvasive visualization of the entire gastrointestinal (GI) tract without causing discomfort to patients. Convolutional neural networks (CNNs), though perform favorably against traditional machine learning methods, show limited capacity in WCE image classification due to the small lesions and background interference. To overcome these limits, we propose a two-branch Attention Guided Deformation Network (AGDN) for WCE image classification. Specifically, the attention maps of branch1 are utilized to guide the amplification of lesion regions on the input images of branch2, thus leading to better representation and inspection of the small lesions. What's more, we devise and insert Third-order Long-range Feature Aggregation (TLFA) modules into the network. By capturing long-range dependencies and aggregating contextual features, TLFAs endow the network with a global contextual view and stronger feature representation and discrimination capability. Furthermore, we propose a novel Deformation based Attention Consistency (DAC) loss to refine the attention maps and achieve the mutual promotion of the two branches. Finally, the global feature embeddings from the two branches are fused to make image label predictions. Extensive experiments show that the proposed AGDN outperforms state-of-the-art methods with an overall classification accuracy of 91.29% on two public WCE datasets. The source code is available at https://github.com/hathawayxxh/WCE-AGDN.","Lesions,Feature extraction,Strain,Diseases,Image analysis,Image recognition,Task analysis,Wireless capsule endoscopy,image classification,attention guided image deformation,long-range feature aggregation,attention consistency",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering,Imaging Science & Photographic Technology,Radiology, Nuclear Medicine & Medical Imaging",,10.332,,IEEE TRANSACTIONS ON MEDICAL IMAGING,,
