,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Atrial scar quantification via multi-scale CNN in the graph-cuts framework,60,,,"Li Lei,Wu Fuping,Yang Guang,Xu Lingchao,Wong Tom,Mohiaddin Raad,Firmin David,Keegan Jennifer,Zhuang Xiahai","Li L,Wu FP,Yang G,Xu LC,Wong T,Mohiaddin R,Firmin D,Keegan J,Zhuang XH",Zhuang XH,10.1016/j.media.2019.101595,Fudan University,"Late gadolinium enhancement magnetic resonance imaging (LGE MRI) appears to be a promising alternative for scar assessment in patients with atrial fibrillation (AF). Automating the quantification and analysis of atrial scars can be challenging due to the low image quality. In this work, we propose a fully automated method based on the graph-cuts framework, where the potentials of the graph are learned on a surface mesh of the left atrium (LA) using a multi-scale convolutional neural network (MS-CNN). For validation, we have included fifty-eight images with manual delineations. MS-CNN, which can efficiently incorporate both the local and global texture information of the images, has been shown to evidently improve the segmentation accuracy of the proposed graph-cuts based method. The segmentation could be further improved when the contribution between the t-link and n-link weights of the graph is balanced. The proposed method achieves a mean accuracy of 0.856 +/- 0.033 and mean Dice score of 0.702 +/- 0.071 for LA scar quantification. Compared to the conventional methods, which are based on the manual delineation of LA for initialization, our method is fully automatic and has demonstrated significantly better Dice score and accuracy (p < 0.01). The method is promising and can be potentially useful in diagnosis and prognosis of AF. (C) 2019 The Author(s). Published by Elsevier B.V.","Atrial fibrillation,Left atrium,LGE MRI,Scar segmentation,Graph learning,Multi-scale CNN",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Computer Science,Engineering,Radiology, Nuclear Medicine & Medical Imaging",,11.22,"WHOLE,HEART,SEGMENTATION,CATHETER,ABLATION,PULMONARY,VEIN,FIBRILLATION,MRI,MANAGEMENT,THICKNESS,SELECTION,MODEL,CT",MEDICAL IMAGE ANALYSIS,https://europepmc.org/articles/pmc6988106?pdf=render,
2,Analysis of nonstandardized stress echocardiography sequences using multiview dimensionality reduction,60,,,"Nogueira Mariana,De Craene Mathieu,Sanchez-Martinez Sergio,Chowdhury Devyani,Bijnens Bart,Piella Gemma","Nogueira M,De Craene M,Sanchez-Martinez S,Chowdhury D,Bijnens B,Piella G",Nogueira M,10.1016/j.media.2019.101594,Pompeu Fabra University,"Alternative stress echocardiography protocols such as handgrip exercise are potentially more favorable towards large-scale screening scenarios than those currently adopted in clinical practice. However, these are still underexplored because the maximal exercise levels are not easily quantified and regulated, requiring the analysis of the complete data sequences (thousands of images), which represents a challenging task for the clinician. We propose a framework for the analysis of these complex datasets, and illustrate it on a handgrip exercise dataset including complete acquisitions of 10 healthy controls and 5 ANT1 mutation patients (1377 cardiac cycles). The framework is based on an unsupervised formulation of multiple kernel learning, which is used to integrate information coming from myocardial velocity traces and heart rate to obtain a lower-dimensional representation of the data. Such simplified representation is then explored to discriminate groups of response and understand the underlying pathophysiological mechanisms. The analysis pipeline involves the reconstruction of population-specific signatures using multiscale kernel regression, and the clustering of subjects based on the trajectories defined by their projected sequences. The results confirm that the proposed framework is able to detect distinctive clusters of response and to provide insight regarding the underlying pathophysiology. (C) 2019 Elsevier B.V. All rights reserved.","Multiview dimensionality reduction,Multiple kernel learning,Stress echocardiography,Pattern analysis",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Computer Science,Engineering,Radiology, Nuclear Medicine & Medical Imaging",,11.22,"EXERCISE,DOBUTAMINE,STRAIN",MEDICAL IMAGE ANALYSIS,,
3,Graph temporal ensembling based semi-supervised convolutional neural network with noisy labels for histopathology image analysis,60,,,"Shi Xiaoshuang,Su Hai,Xing Fuyong,Liang Yun,Qu Gang,Yang Lin","Shi XS,Su H,Xing FY,Liang Y,Qu G,Yang L",Shi XS; Yang L,10.1016/j.media.2019.101624,State University System of Florida,"Although convolutional neural networks have achieved tremendous success on histopathology image classification, they usually require large-scale clean annotated data and are sensitive to noisy labels. Unfortunately, labeling large-scale images is laborious, expensive and lowly reliable for pathologists. To address these problems, in this paper, we propose a novel self-ensembling based deep architecture to leverage the semantic information of annotated images and explore the information hidden in unlabeled data, and meanwhile being robust to noisy labels. Specifically, the proposed architecture first creates ensemble targets for feature and label predictions of training samples, by using exponential moving average (EMA) to aggregate feature and label predictions within multiple previous training epochs. Then, the ensemble targets within the same class are mapped into a cluster so that they are further enhanced. Next, a consistency cost is utilized to form consensus predictions under different configurations. Finally, we validate the proposed method with extensive experiments on lung and breast cancer datasets that contain thousands of images. It can achieve 90.5% and 89.5% image classification accuracy using only 20% labeled patients on the two datasets, respectively. This performance is comparable to that of the baseline method with all labeled patients. Experiments also demonstrate its robustness to small percentage of noisy labels. (C) 2019 Elsevier B.V. All rights reserved.","Semi-supervised,Noisy labels,Convolutional neural network,Histopathology image classification",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Computer Science,Engineering,Radiology, Nuclear Medicine & Medical Imaging",,11.22,,MEDICAL IMAGE ANALYSIS,,
4,In-flight and wireless damage detection in a UAV composite wing using fiber optic sensors and strain field pattern recognition,136,,,"Alvarez-Montoya Joham,Carvajal-Castrillon Alejandro,Sierra-Perez Julian","Alvarez-Montoya J,Carvajal-Castrillon A,Sierra-Perez J",Alvarez-Montoya J,10.1016/j.ymssp.2019.106526,Universidad Pontificia Bolivariana,"Aiming to provide more efficient, lightweight structures, composite materials are being extensively used in aerospace vehicles. As the failure mechanisms of these materials are complex, damage detection becomes challenging, requiring advanced techniques for assessing structural integrity and maintaining aircraft safety. In this context, Structural Health Monitoring (SHM) seeks for integrating sensors into the structures in a way that Nondestructive Testing (NDT) is implemented continuously. One promising approach is to use Fiber Optic Sensors (FOS) to acquire strain signals, taking advantages of their capabilities over conventional sensors. Despite several works have developed Health and Usage Monitoring Systems (HUMS) using FOS for performing in-flight SHM in aircraft structures, automatic damage detection using the acquired signals has not been achieved in a robust way against environmental and operational variability, in all flight stages or considering different types of damages. In this work, a HUMS was developed and implemented in an Unmanned Aerial Vehicle (UAV) based on 20 Fiber Bragg Gratings (FBGs) embedded into the composite front spar of the aircraft's wing, a miniaturized data acquisition subsystem for gathering strain signals and a wireless transmission subsystem for remote sensing. The HUMS was tested in 16 flights, six of them were carried out with the pristine structure and the remaining after inducing different artificial damages. The in-flight data were used to validate a previously developed damage detection methodology based on strain field pattern recognition, or strain mapping, which utilizes machine learning algorithms, specifically a Self-Organizing Map (SOM)-based procedure for clustering operational conditions and Principal Component Analysis (PCA) in conjunction with damage indices for final classification. The performance of the damage detection demonstrated a highest accuracy of 0.981 and a highest F-1 score of 0.978. As a main contribution, this work implements in-flight strain monitoring, remote sensing and automatic damage detection in an operating composite aircraft structure. (C) 2019 Elsevier Ltd. All rights reserved.","Structural health monitoring,Damage detection,Composite materials,Aerospace structures,Machine learning,Remote sensing",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"PRINCIPAL,COMPONENT,ANALYSIS,KERNEL,DENSITY-ESTIMATION,MONITORING-SYSTEM,IDENTIFICATION,VALIDATION,ALGORITHMS",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
5,Multimodal Sparse Classifier for Adolescent Brain Age Prediction,24,2,336-344,"Kassani Peyman Hosseinzadeh,Gossmann Alexej,Wang Yu-Ping","Kassani PH,Gossmann A,Wang YP",Wang YP,10.1109/JBHI.2019.2925710,Tulane University,"The study of healthy brain development helps to better understand both brain transformation and connectivity patterns, which happen during childhood to adulthood. This study presents a sparse machine learning solution across whole-brain functional connectivity measures of three datasets, derived from resting state functional magnetic resonance imaging (rs-fMRI) and two task fMRI data including a working memory n-back task (nb-fMRI) and an emotion identification task (em-fMRI). The fMRI data are collected from the Philadelphia Neurodevelopmental Cohort (PNC) for the prediction of brain age in adolescents. Due to extremely large variable-to-instance ratio of PNC data, a high-dimensional matrix with several irrelevant and highly correlated features is generated, and hence a sparse learning approach is necessary to extract effective features from fMRI data. We propose a sparse learner based on the residual errors along the estimation of an inverse problem for extreme learning machine (ELM). Our proposed method is able to overcome the overlearning problem by pruning several redundant features and their corresponding output weights. The proposed multimodal sparse ELM classifier based on residual errors is highly competitive in terms of classification accuracy compared to its counterparts such as conventional ELM, and sparse Bayesian learning ELM.","Brain age prediction,extreme learning machine,neuroimaging",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"EXTREME,LEARNING-MACHINE,HIDDEN,MRI,GROWTH",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,http://arxiv.org/pdf/1904.01070,
6,Progressive Sub-Band Residual-Learning Network for MR Image Super Resolution,24,2,377-386,"Xue Xuetong,Wang Ying,Li Jie,Jiao Zhicheng,Ren Ziqi,Gao Xinbo","Xue XT,Wang Y,Li J,Jiao ZC,Ren ZQ,Gao XB",Gao XB,10.1109/JBHI.2019.2945373,Xidian University,"High-resolution (HR) magnetic resonance images (MRI) provide more detailed information for clinical application. However, HR MRI is less available because of the longer scan time and lower signal-to-noise ratio. Spatial resolution is one of the key parameters of MRI. The image post-processing technique super-resolution (SR) is an alternative approach to improve the spatial resolution of MR images. Inspired by advanced deep learning based SR methods, we propose an MRI SR model named progressive sub-band residual learning SR network (PSR-SRN). The proposed model contains two parallel progressive learning streams, where one stream learns on missed high-frequency residuals by sub-band residual learning unit (ISRL) and the other focuses on reconstructing refined MR image. These two streams complement each other and enable to learn complex mappings between ""Low-"" and ""High-"" resolution MR images. Besides, we introduce brain-like mechanisms (in-depth supervision and local feedback mechanism) and progressive sub-band learning strategy to emphasize variant textures of MRI. Compared with traditional and deep learning MRI SR methods, our PSR-SRN model shows superior performance.","Magnetic resonance imaging (MRI),Super resolution (SR),CNN,Local feedback,Residual learning network",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"SUPERRESOLUTION,RECONSTRUCTION,7T-LIKE,IMAGES",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,,
7,GluNet: A Deep Learning Framework for Accurate Glucose Forecasting,24,2,414-423,"Li Kezhi,Liu Chengyuan,Zhu Taiyu,Herrero Pau,Georgiou Pantelis","Li KZ,Liu CY,Zhu TY,Herrero P,Georgiou P",Li KZ,10.1109/JBHI.2019.2931842,Imperial College London,"For people with Type 1 diabetes (T1D), forecasting of blood glucose (BG) can be used to effectively avoid hyperglycemia, hypoglycemia and associated complications. The latest continuous glucosemonitoring (CGM) technology allows people to observe glucose in real-time. However, an accurate glucose forecast remains a challenge. In this work, we introduce GluNet, a framework that leverages on a personalized deep neural network to predict the probabilistic distribution of short-term (30-60 minutes) future CGM measurements for subjects with T1D based on their historical data including glucose measurements, meal information, insulin doses, and other factors. It adopts the latest deep learning techniques consisting of four components: data pre-processing, label transform/recover, multilayers of dilated convolution neural network (CNN), and post-processing. The method is evaluated in-silico for both adult and adolescent subjects. The results show significant improvements over existing methods in the literature through a comprehensive comparison in terms of root mean square error (RMSE) (8.88 +/- 0.77 mg/dL) with short time lag (0.83 +/- 0.40 minutes) for prediction horizons (PH) = 30 mins (minutes), and RMSE (19.90 +/- 3.17 mg/dL) with time lag (16.43 +/- 4.07 mins) for PH = 60 mins for virtual adult subjects. In addition, GluNet is also tested on two clinical data sets. Results show that it achieves an RMSE (19.28 +/- 2.76 mg/dL) with time lag (8.03 +/- 4.07 mins) for PH = 30 mins and an RMSE (31.83 +/- 3.49 mg/dL) with time lag (17.78 +/- 8.00 mins) for PH = 60 mins. These are the best reported results for glucose forecasting when compared with other methods including the neural network for predicting glucose (NNPG), the support vector regression (SVR), the latent variable with exogenous input (LVX), and the auto regression with exogenous input (ARX) algorithm.","Deep learning,dilated convolutions,glucose forecasting,continuous glucose monitoring (CGM),diabetes",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"ADVANCED,BOLUS,CALCULATOR,PREDICTION,ARCHITECTURE,ALGORITHM,SENSORS,MODEL",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,https://nottingham-repository.worktribe.com/2361380/1/GluNet  A Deep Learning Framework For Accurate Blood Glucose Forecasting,
8,Knowledge-Based Analysis for Mortality Prediction From CT Images,24,2,457-464,"Guo Hengtao,Kruger Uwe,Wang Ge,Kalra Mannudeep K.,Yan Pingkun","Guo HT,Kruger U,Wang G,Kalra MK,Yan PK",Yan PK,10.1109/JBHI.2019.2946066,Rensselaer Polytechnic Institute,"Low-Dose CT (LDCT) can significantly improve the accuracy of lung cancer diagnosis and thus reduce cancer deaths compared to chest X-ray. The lung cancer risk population is also at high risk of other deadly diseases, for instance, cardiovascular diseases. Therefore, predicting the all-cause mortality risks of this population is of great importance. This paper introduces a knowledge-based analytical method using deep convolutional neural network (CNN) for all-cause mortality prediction. The underlying approach combines structural image features extracted from CNNs, based on LDCT volume at different scales, and clinical knowledge obtained from quantitative measurements, to predict the mortality risk of lung cancer screening subjects. The proposed method is referred as Knowledge-based Analysis of Mortality Prediction Network (KAMP-Net). It constitutes a collaborative framework that utilizes both imaging features and anatomical information, instead of completely relying on automatic feature extraction. Our work demonstrates the feasibility of incorporating quantitative clinical measurements to assist CNNs in all-cause mortality prediction from chest LDCT images. The results of this study confirm that radiologist defined features can complement CNNs in performance improvement. The experiments demonstrate that KAMP-Net can achieve a superior performance when compared to other methods.","Lung cancer,low-dose CT,mortality risk,convolutional neural network,clinical knowledge",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"CORONARY-ARTERY,CALCIUM,LOW-DOSE,CT,LUNG-CANCER,DISEASE",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,http://arxiv.org/pdf/1902.07687,
9,Epilepsy Seizure Prediction on EEG Using Common Spatial Pattern and Convolutional Neural Network,24,2,465-474,"Zhang Yuan,Guo Yao,Yang Po,Chen Wei,Lo Benny","Zhang Y,Guo Y,Yang P,Chen W,Lo B",Guo Y; Chen W,10.1109/JBHI.2019.2933046,Fudan University,"Epilepsy seizure prediction paves the way of timely warning for patients to take more active and effective intervention measures. Compared to seizure detection that only identifies the inter-ictal state and the ictal state, far fewer researches have been conducted on seizure prediction because the high similarity makes it challenging to distinguish between the pre-ictal state and the inter-ictal state. In this paper, a novel solution on seizure prediction is proposed using common spatial pattern (CSP) and convolutional neural network (CNN). Firstly, artificial pre-ictal EEG signals based on the original ones are generated by combining the segmented pre-ictal signals to solve the trial imbalance problem between the two states. Secondly, a feature extractor employing wavelet packet decomposition and CSP is designed to extract the distinguishing features in both the time domain and the frequency domain. It can improve overall accuracy while reducing the training time. Finally, a shallow CNN is applied to discriminate between the pre-ictal state and the inter-ictal state. Our proposed solution is evaluated on 23 patients' data from Boston Children's Hospital-MIT scalp EEG dataset by employing a leave-one-out cross-validation, and it achieves a sensitivity of 92.2% and false prediction rate of 0.12/h. Experimental result demonstrates that the proposed approach outperforms most state-of-the-art methods.","Seizure prediction,EEG,common spatial patterns,convolutional neural network",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"SPECTRAL,POWER,TIME,CLASSIFICATION",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,https://eprints.whiterose.ac.uk/151225/15/JBHI__1_.pdf,
10,MFB-CBRNN: A Hybrid Network for MI Detection Using 12-Lead ECGs,24,2,503-514,"Liu Wenhan,Wang Fei,Huang Qijun,Chang Sheng,Wang Hao,He Jin","Liu WH,Wang F,Huang QJ,Chang S,Wang H,He J",Huang QJ,10.1109/JBHI.2019.2910082,Wuhan University,"This paper proposes a novel hybrid network named multiple-feature-branch convolutional bidirectional recurrent neural network (MFB-CBRNN) for myocardial infarction (MI) detection using 12-lead ECGs. The model efficiently combines convolutional neural network-based and recurrent neural network-based structures. Each feature branch consists of several one-dimensional convolutional and pooling layers, corresponding to a certain lead. All the feature branches are independent from each other, which are utilized to learn the diverse features from different leads. Moreover, a bidirectional long short term memory network is employed to summarize all the feature branches. Its good ability of feature aggregation has been proved by the experiments. Furthermore, the paper develops a novel optimization method, lead random mask (LRM), to alleviate overfitting and implement an implicit ensemble like dropout. The model with LRM can achieve a more accurate MI detection. Class-based and subject-based fivefold cross validations are both carried out using Physikalisch-Technische Bundesanstalt diagnostic database. Totally, there are 148 MI and 52 healthy control subjects involved in the experiments. The MFB-CBRNN achieves an overall accuracy of 99.90% in class-based experiments, and an overall accuracy of 93.08% in subject-based experiments. Compared with other related studies, our algorithm achieves a comparable or even better result on MI detection. Therefore, the MFB-CBRNN has a good generalization capacity and is suitable for MI detection using 12-lead ECGs. It has a potential to assist the real-world MI diagnostics and reduce the burden of cardiologists.","Convolutional neural network (CNN),bidirectional long short term memory (BLSTM),electrocardiogram (ECG),myocardial infarction (MI),automated diagnosis,lead random mask (LRM)",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Mathematical & Computational Biology,Medical Informatics",,6.018,"CONVOLUTIONAL,NEURAL-NETWORK,MYOCARDIAL-INFARCTION,COMPLEX,CLASSIFICATION,LOCALIZATION,MACHINE",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,,
