,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Ultra-high temperature ceramics melting temperature prediction via machine learning,45,15,18551-18555,"Qu Nan,Liu Yong,Liao Mingqing,Lai Zhonghong,Zhou Fei,Cui Puchang,Han Tianyi,Yang Danni,Zhu Jingchuan","Qu N,Liu Y,Liao MQ,Lai ZH,Zhou F,Cui PC,Han TY,Yang DN,Zhu JC",Zhu JC,10.1016/j.ceramint.2019.06.076,Harbin Institute of Technology,"Melting temperature has great influence on the high temperature properties and working temperature limits of ultra-high temperature ceramics (UHTCs) In order to bypass the challenge in the measurement of ultra-high melting points, this paper proposed a novel method to predict UHTCs melting temperature via machine learning. A dataset including more than ten thousand melting temperature data has been established, which covers 8 elements and most of the known non-oxide UHTCs. We built up an element to ceramic system framework by back propagation artificial neural network (BPANN) with the accuracy approaching to 90% and the correlation coefficients approaching to 0.95. Our work provides a probability to get the high accuracy melting temperature of UHTCs, and a more convenient way to develop novel materials with higher working temperature. The given case of melting temperature prediction of Hf-C-N ceramics proves the generality of the artificial neural network (ANN). An inter-validation of melting temperature prediction using our network with materials thermodynamics and density functional theory (DFT) has been demonstrated, indicating that our network is of powerful prediction ability.","Ultra-high temperature ceramics,Machine learning,Melting temperature prediction",Article,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",Materials Science,,4.049,"DEPENDENT,FRACTURE,STRENGTH,RESISTANCE,OXIDATION,ALLOYS,MODEL",CERAMICS INTERNATIONAL,,
2,Springback Study on Profile Flexible 3D Stretch-Bending Process Using the Neural Network,2019,,,"Li Yi,Liang Ce,Lin Xiangfeng,Liang Jicai,Cai Zhongyi,Teng Fei","Li Y,Liang C,Lin XF,Liang JC,Cai ZY,Teng F",Liang JC,10.1155/2019/6465196,Jilin University,"The springback is one of the main defects in the flexible 3D stretch-bending process. In this paper, according to the orthogonal design of experiments, the numerical simulation analysis of the springback for the 3D stretch-bending aluminum profile is carried out by the ABAQUS finite element software. And to investigate the effect of material properties on the springback, the range analysis of the orthogonal experiment is performed. The results show that these material properties of the aluminum profile (elastic modulus E, yield strength sigma(y), and tangent modulus E-1) might have the biggest influence on the springback of the aluminum profile, and the optimized forming parameters are founded as follows: the horizontal bending degree is 14 degrees, the vertical bending degree is 14 degrees, the number of multipoint stretch-bending dies is 10, the friction coefficient is 0.15, and aluminum alloy grade is 6063. Moreover, the model of the BP neural network for the prediction of the springback is established and trained based on the orthogonal experiment, and the results with the BP neural network model are in good agreement with experimental results. So it is obvious that the BP neural network could predict effectively the springback of 3D multipoint stretch-bending parts.","FINITE-ELEMENT,ALUMINUM-ALLOY,PREDICTION,BEHAVIOR",Article,"HINDAWI LTD, ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND",Materials Science,,1.94,"FINITE-ELEMENT,ALUMINUM-ALLOY,PREDICTION,BEHAVIOR",ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,https://downloads.hindawi.com/journals/amse/2019/6465196.pdf,
3,Nonlinear Structural Vector Autoregressive Models With Application to Directed Brain Networks,67,20,5325-5339,"Shen Yanning,Giannakis Georgios B.,Baingana Brian","Shen YN,Giannakis GB,Baingana B",Giannakis GB,10.1109/TSP.2019.2940122,University of Minnesota System,"Structural equation models (SEMs) and vector autoregressive models (VARMs) are two broad families of approaches that have been shown useful in effective brain connectivity studies. While VARMs postulate that a given region of interest in the brain is directionally connected to another one by virtue of time-lagged influences, SEMs assert that directed dependencies arise clue to instantaneous effects, and may even be adopted when nodal measurements are not necessarily multivariate time series. To unify these complementary perspectives, linear structural vector autoregressive models (SVARMs) that leverage both instantaneous and time-lagged nodal data have recently been put forth. Albeit simple and tractable, linear SVARMs are quite limited since they are incapable of modeling nonlinear dependencies between neuronal time series. To this end, the overarching goal of the present paper is to considerably broaden the span of linear SVARMs by capturing nonlinearities through kernels, which have recently emerged as a powerful nonlinear modeling framework in canonical machine learning tasks, e.g., regression, classification, and dimensionality reduction. The merits of kernel-based methods are extended here to the task of learning the effective brain connectivity, and an efficient regularized estimator is put forth to leverage the edge sparsity inherent to real-world complex networks. Judicious kernel choice from a preselected dictionary of kernels is also addressed using a data-driven approach. Numerical tests on ECoG data captured through a study on epileptic seizures demonstrate that it is possible to unveil previously unknown directed links between brain regions of interest.","Network topology inference,structural vector autoregressive models,nonlinear models",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",Engineering,,5.239,"GRANGER,CAUSALITY,CORTICAL,INTERACTIONS,EQUATION,MODELS,CONNECTIVITY,TOPOLOGY,FMRI",IEEE TRANSACTIONS ON SIGNAL PROCESSING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6779157,
4,Treatment and hybrid modeling of domestic reverse osmosis concentrate using biological activated carbon,468,,,"Pooi Ching Kwek,Loka Vincent,Ng How Yong","Pooi CK,Loka V,Ng HY",Ng HY,10.1016/j.desal.2019.06.013,National University of Singapore,"The simulation and removal of organics from municipal reverse osmosis concentrate (ROC) using biological activated carbon (BAC) was investigated. BAC treatment of ROC achieved a TOC removal of 25.5% and 28.1% for empty bed contact time (EBCT) of 40 min and 60 min, respectively. Batch studies revealed that the TOC removal followed a first order reaction with a rate constant of 2.735 at R-2> 0.98. Most of the organics were removed within 80 min of treatment, with an average non-biodegradable fraction of 0.6453. The results obtained from the batch studies were then used for simulation of the continuous lab-scale BAC reactors, yielding average relative deviations of 7%-8% and normalized root mean square errors (RMSE) of 0.09-0.1. Results from a third reactor with EBCT of 80 min were used to train and verify a machine learning model. The model was then used for calculating the non-biodegradable organics fraction of ROC, which will be fed into the first order reaction model. The resulting serial hybrid modeling further reduced the average relative deviations to 5%-6% and a normalized RMSE of 0.08.","Hybrid modeling,Reverse osmosis concentrate,Machine learning,Biological activated carbon",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Engineering,Water Resources",,9.189,"WATER,PREDICTION,NITROGEN,REMOVAL",DESALINATION,,
5,A multi-scale hybrid degradation index for proton exchange membrane fuel cells,437,,,"Liu Hao,Chen Jian,Hissel Daniel,Hou Ming,Shao Zhigang","Liu H,Chen J,Hissel D,Hou M,Shao ZG",Chen J,10.1016/j.jpowsour.2019.226916,Zhejiang University,"An accurate degradation index can help users understand the aging state of proton exchange membrane fuel cells and take appropriate maintenance measures to improve durability. The degradation of membranes and electrodes is one of the most important causes leading to the performance degradation of proton exchange membrane fuel cells. This paper proposes a multi-scale hybrid degradation index that combines the degradation of membranes and electrodes to estimate the aging state of proton exchange membrane fuel cells. Firstly, different degradation models are utilized to estimate the degradation indexes such as average radius of Pt particles, electrochemical surface area, and membrane thickness. A multi-sale hybrid degradation index is then designed to fuse all the previous indexes based on the quantified effects of electrode and membrane degradation. Finally, based on the automatic machine learning algorithm and the aging experimental data of proton exchange membrane fuel cells, the proposed hybrid degradation index is verified. Experimental results show that the proposed hybrid degradation index can accurately predict the future aging states and the remaining useful life of proton exchange membrane fuel cells.","Degradation index,Proton exchange membrane fuel cells,Electrochemical surface area,Membrane thickness",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Chemistry,Electrochemistry,Energy & Fuels,Materials Science",,8.096,"CATALYST,LAYERS,PROGNOSTICS,MODEL,LIFE,PERFORMANCE,TESTS",JOURNAL OF POWER SOURCES,,
6,Magnetic and Radar Sensing for Multimodal Remote Health Monitoring,19,20,8979-8989,"Li Haobo,Shrestha Aman,Heidari Hadi,Le Kernec Julien,Fioranelli Francesco","Li HB,Shrestha A,Heidari H,Le Kernec J,Fioranelli F",Fioranelli F,10.1109/JSEN.2018.2872894,University of Glasgow,"With the increased life expectancy and rise in health conditions related to aging, there is a need for new technologies that can routinely monitor vulnerable people, identify their daily pattern of activities and any anomaly or critical events such as falls. This paper aims to evaluate magnetic and radar sensors as suitable technologies for remote health monitoring purpose, both individually and fusing their information. After experiments and collecting data from 20 volunteers, numerical features has been extracted in both time and frequency domains. In order to analyze and verify the validation of fusion method for different classifiers, a support vector machine with a quadratic kernel, and an artificial neural network with one and multiple hidden layers have been implemented. Furthermore, for both classifiers, feature selection has been performed to obtain salient features. Using this technique along with fusion, both classifiers can detect 10 different activities with an accuracy rate of approximately 96%. In cases where the user is unknown to the classifier, an accuracy of approximately 92% is maintained.","Magnetic sensor,radar sensing,assisted living,feature selection,neural networks,machine learning",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Engineering,Instruments & Instrumentation,Physics",,3.441,"MICRO-DOPPLER,FALL,DETECTION,SENSORS,CLASSIFICATION,RECOGNITION",IEEE SENSORS JOURNAL,http://eprints.gla.ac.uk/169396/13/169396.pdf,
7,A Deep Neural Network-Based Permanent Magnet Localization for Tongue Tracking,19,20,9324-9331,"Sebkhi Nordine,Sahadat Nazmus,Hersek Sinan,Bhaysar Arpan,Siahpoushan Shayan,Ghovanloo Maysam,Inan Omer T.","Sebkhi N,Sahadat N,Hersek S,Bhaysar A,Siahpoushan S,Ghovanloo M,Inan OT",Sebkhi N,10.1109/JSEN.2019.2923585,University System of Georgia,"Permanent magnet localization (PML) is a nascent method of wireless motion tracking that can estimate the 5D state (3D position and 2D orientation) of a cylindrical magnet from its magnetic field. PML is well suited for applications where a wireless tracking is crucial, and in particular for tongue motion which opens up many new interesting applications. To allow its usage outside of a research lab, our tongue tracking system relies on the PML to avoid impeding tongue's natural motion due to its wireless tracking method and ensure safe use inside the mouth. Our tracking module is embedded in a headset to be portable and simple to use while being affordable by relying on the mass-produced components. The classical implementation of PML has many shortcomings that limit its practicality for real-world applications because it is computationally intensive due to its iterative algorithm, subject to local minimum convergence issues, and sensitive to its initial state and calibration parameters. Additionally, its physical model is an approximation that is only valid in limited tracking conditions. In this paper, we investigated the potential of deep learning to create a PML model for tongue tracking by training a feedforward neural network (3 layers, 100 neurons per layer) on a dataset composed of similar to 17 million states spanning a volume of 10 x 10 x 10 cm(3). Our PML was validated on 337000 states in a 4 x 6 x 7 cm(3) volume and tested on 100000 samples emulating a more natural tongue motion with curves and twists. A fully automated SD positional stage was engineered by our team to collect these large datasets of the 5D magnet states. Our PML prediction, limited to the magnet's 3D positions in this paper, reaches positional errors of 1.4 mm (median) and 1.8 mm (Q3).","Algorithm,articulograph,biomedical device,deep learning,machine learning,magnetometers,motion tracking,neural network,nonlinear optimization,permanent magnet localization,speech,tongue tracking,wearable",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Engineering,Instruments & Instrumentation,Physics",,3.441,"ELECTROMAGNETIC,ARTICULOGRAPHY,SPEECH,RECOGNITION,ALGORITHM,POSITION,ELECTROPALATOGRAPHY,MOVEMENTS,ACCURACY,POINTS,ADULTS",IEEE SENSORS JOURNAL,,
8,Research on fundus image registration and fusion method based on nonsubsampled contourlet and adaptive pulse coupled neural network,79,47-48,34795-34812,"Wu Jun,Ren Xingxing,Xiao Zhitao,Zhang Fang,Geng Lei,Zhang Shihao","Wu J,Ren XX,Xiao ZT,Zhang F,Geng L,Zhang SH",Xiao ZT,10.1007/s11042-019-08194-9,Tiangong University,"We present a registration and fusion method of fluorescein fundus angiography image and color fundus image which combines Nonsubsampled Contourlet (NSCT) and adaptive Pulse Coupled Neural Network (PCNN). Firstly, we register two images by Speeded Up Robust Features (SURF) feature points, the nearest neighbor and the next nearest neighbor distance ratio method to eliminate the spatial difference between the source images. Secondly, we use Random Sample Consensus (RANSAC) algorithm to achieve precise matching of feature points. Then, according to the transformation parameters obtained by RANSAC algorithm, we perform spatial transformation on the floating image to complete the registration. Finally, we obtain the low-frequency sub-band and high-frequency sub-band of the image to be fused by NSCT decomposition. The low-frequency sub-band is fused by the regional energy. The high-frequency sub-bands are studied using a simplified-PCNN model and the Particle Swarm Optimization algorithm. The link strength of the simplified-PCNN is an improved Laplacian energy and the images are fused based on the number of times the pixels are ignited. The proposed method has higher average gradient (AG) value and information entropy (IE) value and lower relative global dimensional synthesis error (ERGAS) than the existing fusion methods of the fundus image. The fusion image can accurately synthesize the image information, clarify the performance of the details, and has better spectral quality in the spectral range. The image of fused provides an effective reference for the clinical diagnosis of fundus diseases.","Fundus fusion,Nonsubsampled contourlet,Regional energy,Simplified-pulse coupled neural network,Particle swarm optimization",Article,"SPRINGER, VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Computer Science,Engineering",,2.517,TRANSFORM,MULTIMEDIA TOOLS AND APPLICATIONS,,
9,Deep neural network method for predicting the mechanical properties of composites,115,16,,"Ye Sang,Li Bo,Li Qunyang,Zhao Hong-Ping,Feng Xi-Qiao","Ye S,Li B,Li QY,Zhao HP,Feng XQ",Feng XQ,10.1063/1.5124529,Tsinghua University,"Determining the macroscopic mechanical properties of composites with complex microstructures is a key issue in many of their applications. In this Letter, a machine learning-based approach is proposed to predict the effective elastic properties of composites with arbitrary shapes and distributions of inclusions. Using several data sets generated from the finite element method, a convolutional neural network method is developed to predict the effective Young's modulus and Poisson's ratio of composites directly from a window of their microstructural image. Through numerical experiments, we demonstrate that the trained network can efficiently provide an accurate mapping between the effective mechanical property and the microstructures of composites with complex structures. This study paves a way for characterizing heterogeneous materials in big data-driven material design. Published under license by AIP Publishing.","FINITE-ELEMENT-ANALYSIS,BEHAVIOR",Article,"AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",Physics,,3.596,"FINITE-ELEMENT-ANALYSIS,BEHAVIOR",APPLIED PHYSICS LETTERS,,
10,Improved Crack Detection and Recognition Based on Convolutional Neural Network,2019,,,"Chen Keqin,Yadav Amit,Khan Asif,Meng Yixin,Zhu Kin","Chen KQ,Yadav A,Khan A,Meng YX,Zhu K",Chen KQ,10.1155/2019/8796743,Southwestern University of Finance & Economics - China,"Concrete cracks are very serious and potentially dangerous. There are three obvious limitations existing in the present machine learning methods: low recognition rate, low accuracy, and long time. Improved crack detection based on convolutional neural networks can automatically detect whether an image contains cracks and mark the location of the cracks, which can greatly improve the monitoring efficiency. Experimental results show that the Adam optimization algorithm and batch normalization (BN) algorithm can make the model converge faster and achieve the maximum accuracy of 99.71%.",,Article,"HINDAWI LTD, ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND",Engineering,,,,MODELLING AND SIMULATION IN ENGINEERING,https://downloads.hindawi.com/journals/mse/2019/8796743.pdf,
